STATUS, ITERATION, CLIENT, DATE, READY AFTER(MS), WATINGTIME(MS), ESTIMATED ACCESS AFTER(MS), ESTIMATED MAX DELAY(MS)
STATUS, connected, puppeteer_HL, 2024-07-24T12:40:52.029Z
STATUS, connected, puppeteer, 2024-07-24T12:40:54.962Z
STATUS, connected, OpenWPM, 2024-07-24T12:42:11.612Z
STATUS, connected, OpenWPM_HL, 2024-07-24T12:42:41.422Z
STATUS, ping, puppeteer_HL, 2024-07-24T12:42:41.423Z, 0.5
STATUS, ping, OpenWPM_HL, 2024-07-24T12:42:41.424Z, 1
STATUS, ping, OpenWPM, 2024-07-24T12:42:41.424Z, 1
STATUS, ping, puppeteer, 2024-07-24T12:42:41.425Z, 1.5
CRAWLED, url#25, OpenWPM_HL, 2024-07-24T12:54:46.935Z, 4362, 0, 6458, 6458, 2837
CRAWLED, url#26, puppeteer_HL, 2024-07-24T12:55:05.404Z, 735, 0, -1, undefined, 6498
CRAWLED, url#26, puppeteer, 2024-07-24T12:55:05.404Z, 1080, 0, -1, undefined, 6498
CRAWLED, url#26, OpenWPM, 2024-07-24T12:55:11.902Z, 5813, 0, 6497, 6497, 6498
CRAWLED, url#26, OpenWPM_HL, 2024-07-24T12:55:11.884Z, 4475, 0, 6479, 6479, 6498
CRAWLED, url#27, puppeteer_HL, 2024-07-24T12:55:35.286Z, 1125, 0, 10222, 10222, 3390
CRAWLED, url#27, puppeteer, 2024-07-24T12:55:35.342Z, 1226, 0, 10278, 10278, 3390
CRAWLED, url#27, OpenWPM, 2024-07-24T12:55:31.952Z, 6012, 0, 6888, 6888, 3390
CRAWLED, url#27, OpenWPM_HL, 2024-07-24T12:55:32.074Z, 4647, 0, 7010, 7010, 3390
CRAWLED, url#28, puppeteer_HL, 2024-07-24T12:56:04.812Z, 754, 0, 9714, 9714, 3130
CRAWLED, url#28, puppeteer, 2024-07-24T12:56:04.843Z, 1389, 0, 9745, 9745, 3130
CRAWLED, url#28, OpenWPM, 2024-07-24T12:56:01.713Z, 5916, 0, 6615, 6615, 3130
CRAWLED, url#28, OpenWPM_HL, 2024-07-24T12:56:01.803Z, 4497, 0, 6705, 6705, 3130
CRAWLED, url#29, puppeteer_HL, 2024-07-24T12:56:19.984Z, 1068, 0, -1, undefined, 6438
CRAWLED, url#29, puppeteer, 2024-07-24T12:56:19.984Z, 1350, 0, -1, undefined, 6438
CRAWLED, url#29, OpenWPM, 2024-07-24T12:56:26.422Z, 5398, 0, 6437, 6437, 6438
CRAWLED, url#29, OpenWPM_HL, 2024-07-24T12:56:25.987Z, 4018, 0, 6002, 6002, 6438
CRAWLED, url#30, puppeteer_HL, 2024-07-24T12:56:59.621Z, 669, 0, 10450, 10450, 5349
CRAWLED, url#30, puppeteer, 2024-07-24T12:57:00.991Z, 1098, 0, 11820, 11820, 5349
CRAWLED, url#30, OpenWPM, 2024-07-24T12:56:55.676Z, 5573, 0, 6505, 6505, 5349
CRAWLED, url#30, OpenWPM_HL, 2024-07-24T12:56:55.642Z, 4261, 0, 6471, 6471, 5349
CRAWLED, url#31, puppeteer_HL, 2024-07-24T12:57:23.843Z, 763, 0, -1, undefined, 6365
CRAWLED, url#31, puppeteer, 2024-07-24T12:57:23.843Z, 1320, 0, -1, undefined, 6365
CRAWLED, url#31, OpenWPM, 2024-07-24T12:57:30.208Z, 5280, 0, 6364, 6364, 6365
CRAWLED, url#31, OpenWPM_HL, 2024-07-24T12:57:30.117Z, 4164, 0, 6273, 6273, 6365
CRAWLED, url#32, puppeteer_HL, 2024-07-24T12:57:53.313Z, 749, 0, 9939, 9939, 3256
CRAWLED, url#32, puppeteer, 2024-07-24T12:57:53.314Z, 1163, 0, 9940, 9940, 3256
CRAWLED, url#32, OpenWPM, 2024-07-24T12:57:50.216Z, 5819, 0, 6842, 6842, 3256
CRAWLED, url#32, OpenWPM_HL, 2024-07-24T12:57:50.058Z, 4421, 0, 6684, 6684, 3256
CRAWLED, url#33, puppeteer_HL, 2024-07-24T12:58:18.182Z, 846, 0, -1, undefined, 6593
CRAWLED, url#33, puppeteer, 2024-07-24T12:58:18.182Z, 1260, 0, -1, undefined, 6593
CRAWLED, url#33, OpenWPM, 2024-07-24T12:58:24.542Z, 5671, 0, 6359, 6359, 6593
CRAWLED, url#33, OpenWPM_HL, 2024-07-24T12:58:24.775Z, 4691, 0, 6592, 6592, 6593
CRAWLED, url#34, puppeteer_HL, 2024-07-24T12:58:37.954Z, 659, 0, -1, undefined, 6493
CRAWLED, url#34, puppeteer, 2024-07-24T12:58:37.954Z, 1114, 0, -1, undefined, 6493
CRAWLED, url#34, OpenWPM, 2024-07-24T12:58:44.445Z, 5642, 0, 6490, 6490, 6493
CRAWLED, url#34, OpenWPM_HL, 2024-07-24T12:58:44.447Z, 4440, 0, 6492, 6492, 6493
CRAWLED, url#35, puppeteer_HL, 2024-07-24T12:58:57.669Z, 1257, 0, -1, undefined, 6875
CRAWLED, url#35, puppeteer, 2024-07-24T12:58:57.669Z, 1600, 0, -1, undefined, 6875
CRAWLED, url#35, OpenWPM, 2024-07-24T12:59:04.544Z, 6045, 0, 6874, 6874, 6875
CRAWLED, url#35, OpenWPM_HL, 2024-07-24T12:59:04.474Z, 4708, 0, 6804, 6804, 6875
CRAWLED, url#36, puppeteer_HL, 2024-07-24T12:59:28.269Z, 718, 0, 10573, 10573, 5195
CRAWLED, url#36, puppeteer, 2024-07-24T12:59:29.375Z, 966, 0, 11679, 11679, 5195
CRAWLED, url#36, OpenWPM, 2024-07-24T12:59:24.211Z, 5676, 0, 6515, 6515, 5195
CRAWLED, url#36, OpenWPM_HL, 2024-07-24T12:59:24.180Z, 4438, 0, 6484, 6484, 5195
CRAWLED, url#37, puppeteer_HL, 2024-07-24T12:59:58.735Z, 639, 0, 11334, 11334, 5051
CRAWLED, url#37, puppeteer, 2024-07-24T12:59:58.713Z, 968, 0, 11312, 11312, 5051
CRAWLED, url#37, OpenWPM, 2024-07-24T12:59:53.684Z, 5655, 0, 6283, 6283, 5051
CRAWLED, url#37, OpenWPM_HL, 2024-07-24T12:59:53.848Z, 4657, 0, 6447, 6447, 5051
CRAWLED, url#38, puppeteer_HL, 2024-07-24T13:00:36.652Z, 1060, 0, 9633, 9633, 3476
CRAWLED, url#38, puppeteer, 2024-07-24T13:00:36.618Z, 1532, 0, 9599, 9599, 3476
CRAWLED, url#38, OpenWPM, 2024-07-24T13:00:33.176Z, 5239, 0, 6157, 6157, 3476
CRAWLED, url#38, OpenWPM_HL, 2024-07-24T13:00:33.769Z, 4369, 0, 6750, 6750, 3476
CRAWLED, url#39, puppeteer_HL, 2024-07-24T13:01:02.494Z, 1516, 0, 10538, 10538, 4497
CRAWLED, url#39, puppeteer, 2024-07-24T13:01:02.704Z, 1601, 0, 10748, 10748, 4497
CRAWLED, url#39, OpenWPM, 2024-07-24T13:00:58.774Z, 5923, 0, 6818, 6818, 4497
CRAWLED, url#39, OpenWPM_HL, 2024-07-24T13:00:58.207Z, 4692, 0, 6251, 6251, 4497
CRAWLED, url#40, puppeteer_HL, 2024-07-24T13:01:31.345Z, 681, 0, -1, undefined, 6771
CRAWLED, url#40, puppeteer, 2024-07-24T13:01:31.345Z, 1395, 0, -1, undefined, 6771
CRAWLED, url#40, OpenWPM, 2024-07-24T13:01:37.989Z, 5864, 0, 6643, 6643, 6771
CRAWLED, url#40, OpenWPM_HL, 2024-07-24T13:01:38.116Z, 4352, 0, 6770, 6770, 6771
CRAWLED, url#41, puppeteer_HL, 2024-07-24T13:02:00.247Z, 845, 0, 8985, 8985, 2816
CRAWLED, url#41, puppeteer, 2024-07-24T13:02:00.253Z, 1264, 0, 8991, 8991, 2816
CRAWLED, url#41, OpenWPM, 2024-07-24T13:01:57.437Z, 5569, 0, 6175, 6175, 2816
CRAWLED, url#41, OpenWPM_HL, 2024-07-24T13:01:57.624Z, 4290, 0, 6362, 6362, 2816
CRAWLED, url#42, puppeteer_HL, 2024-07-24T13:02:15.776Z, 728, 0, -1, undefined, 6587
CRAWLED, url#42, puppeteer, 2024-07-24T13:02:15.776Z, 1214, 0, -1, undefined, 6587
CRAWLED, url#42, OpenWPM, 2024-07-24T13:02:22.363Z, 6131, 0, 6586, 6586, 6587
CRAWLED, url#42, OpenWPM_HL, 2024-07-24T13:02:22.207Z, 4694, 0, 6430, 6430, 6587
CRAWLED, url#43, puppeteer_HL, 2024-07-24T13:02:48.613Z, 791, 0, 13119, 13119, 6350
CRAWLED, url#43, puppeteer, 2024-07-24T13:02:47.734Z, 1071, 0, 12240, 12240, 6350
CRAWLED, url#43, OpenWPM, 2024-07-24T13:02:42.263Z, 6027, 0, 6769, 6769, 6350
CRAWLED, url#43, OpenWPM_HL, 2024-07-24T13:02:42.291Z, 4708, 0, 6797, 6797, 6350
CRAWLED, url#44, puppeteer_HL, 2024-07-24T13:03:16.596Z, 724, 0, 11091, 11091, 4805
CRAWLED, url#44, puppeteer, 2024-07-24T13:03:16.817Z, 1009, 0, 11312, 11312, 4805
CRAWLED, url#44, OpenWPM, 2024-07-24T13:03:12.038Z, 5765, 0, 6533, 6533, 4805
CRAWLED, url#44, OpenWPM_HL, 2024-07-24T13:03:12.012Z, 4998, 0, 6507, 6507, 4805
CRAWLED, url#45, puppeteer_HL, 2024-07-24T13:03:44.830Z, 745, 0, 9616, 9616, 3242
CRAWLED, url#45, puppeteer, 2024-07-24T13:03:44.891Z, 1451, 0, 9677, 9677, 3242
CRAWLED, url#45, OpenWPM, 2024-07-24T13:03:41.805Z, 5641, 0, 6591, 6591, 3242
CRAWLED, url#45, OpenWPM_HL, 2024-07-24T13:03:41.649Z, 4776, 0, 6435, 6435, 3242
CRAWLED, url#46, puppeteer_HL, 2024-07-24T13:04:09.907Z, 908, 0, 9945, 9945, 3854
CRAWLED, url#46, puppeteer, 2024-07-24T13:04:09.912Z, 1290, 0, 9950, 9950, 3854
CRAWLED, url#46, OpenWPM, 2024-07-24T13:04:06.305Z, 5456, 0, 6343, 6343, 3854
CRAWLED, url#46, OpenWPM_HL, 2024-07-24T13:04:06.058Z, 4316, 0, 6096, 6096, 3854
CRAWLED, url#47, puppeteer_HL, 2024-07-24T13:04:42.579Z, 1141, 0, 13135, 13135, 6355
CRAWLED, url#47, puppeteer, 2024-07-24T13:04:42.712Z, 993, 0, 13268, 13268, 6355
CRAWLED, url#47, OpenWPM, 2024-07-24T13:04:36.427Z, 5996, 0, 6983, 6983, 6355
CRAWLED, url#47, OpenWPM_HL, 2024-07-24T13:04:36.357Z, 4719, 0, 6913, 6913, 6355
CRAWLED, url#48, puppeteer_HL, 2024-07-24T13:05:09.643Z, 931, 0, 10043, 10043, 3803
CRAWLED, url#48, puppeteer, 2024-07-24T13:05:09.711Z, 1334, 0, 10111, 10111, 3803
CRAWLED, url#48, OpenWPM, 2024-07-24T13:05:06.015Z, 5584, 0, 6415, 6415, 3803
CRAWLED, url#48, OpenWPM_HL, 2024-07-24T13:05:05.908Z, 4542, 0, 6308, 6308, 3803
CRAWLED, url#49, puppeteer_HL, 2024-07-24T13:05:48.581Z, 763, 0, 19436, 19436, 13401
CRAWLED, url#49, puppeteer, 2024-07-24T13:05:49.247Z, 1108, 0, 20102, 20102, 13401
CRAWLED, url#49, OpenWPM, 2024-07-24T13:05:35.846Z, 5795, 0, 6701, 6701, 13401
CRAWLED, url#49, OpenWPM_HL, 2024-07-24T13:05:35.935Z, 4470, 0, 6790, 6790, 13401
CRAWLED, url#50, puppeteer_HL, 2024-07-24T13:06:24.062Z, 688, 0, 9984, 9984, 4038
CRAWLED, url#50, puppeteer, 2024-07-24T13:06:24.191Z, 1447, 0, 10113, 10113, 4038
CRAWLED, url#50, OpenWPM, 2024-07-24T13:06:20.703Z, 5541, 0, 6625, 6625, 4038
CRAWLED, url#50, OpenWPM_HL, 2024-07-24T13:06:20.153Z, 4202, 0, 6075, 6075, 4038
CRAWLED, url#51, puppeteer_HL, 2024-07-24T13:06:38.824Z, 937, 0, -1, undefined, 6361
CRAWLED, url#51, puppeteer, 2024-07-24T13:06:38.824Z, 1256, 0, -1, undefined, 6361
CRAWLED, url#51, OpenWPM, 2024-07-24T13:06:45.185Z, 5232, 0, 6360, 6360, 6361
CRAWLED, url#51, OpenWPM_HL, 2024-07-24T13:06:44.833Z, 3919, 0, 6008, 6008, 6361
CRAWLED, url#52, puppeteer_HL, 2024-07-24T13:07:09.045Z, 1087, 0, 10729, 10729, 4613
CRAWLED, url#52, puppeteer, 2024-07-24T13:07:09.374Z, 1423, 0, 11058, 11058, 4613
CRAWLED, url#52, OpenWPM, 2024-07-24T13:07:04.761Z, 5661, 0, 6445, 6445, 4613
CRAWLED, url#52, OpenWPM_HL, 2024-07-24T13:07:05.092Z, 4705, 0, 6776, 6776, 4613
CRAWLED, url#53, puppeteer_HL, 2024-07-24T13:07:28.252Z, 1061, 0, -1, undefined, 6466
CRAWLED, url#53, puppeteer, 2024-07-24T13:07:28.252Z, 1493, 0, -1, undefined, 6466
CRAWLED, url#53, OpenWPM, 2024-07-24T13:07:34.392Z, 5207, 0, 6139, 6139, 6466
CRAWLED, url#53, OpenWPM_HL, 2024-07-24T13:07:34.718Z, 4524, 0, 6465, 6465, 6466
CRAWLED, url#54, puppeteer_HL, 2024-07-24T13:07:47.846Z, 784, 0, -1, undefined, 9625
CRAWLED, url#54, puppeteer, 2024-07-24T13:07:57.471Z, 1119, 0, 9624, 9624, 9625
CRAWLED, url#54, OpenWPM, 2024-07-24T13:07:54.607Z, 6024, 0, 6760, 6760, 9625
CRAWLED, url#54, OpenWPM_HL, 2024-07-24T13:07:54.616Z, 4710, 0, 6769, 6769, 9625
CRAWLED, url#55, puppeteer_HL, 2024-07-24T13:08:25.557Z, 909, 0, 12750, 12750, 6632
