STATUS, ITERATION, CLIENT, DATE, READY AFTER(MS), WATINGTIME(MS), REQUEST AFTER(MS), DONE AFTER(MS), MAX DELAY(MS)
CRAWLED, url#11, puppeteer_HL, 2024-07-25T07:39:42.554Z, 1070, 814, 6585, 6628, 305
CRAWLED, url#12, puppeteer, 2024-07-25T07:40:06.834Z, 1126, 811, 6209, 6254, 441
CRAWLED, url#12, OpenWPM_HL, 2024-07-25T07:40:07.256Z, 4630, 108, 6631, 6613, 441
CRAWLED, url#12, OpenWPM, 2024-07-25T07:40:06.815Z, 5383, 0, 6190, 6168, 441
CRAWLED, url#12, puppeteer_HL, 2024-07-25T07:40:06.837Z, 1014, 814, 6212, 6273, 441
CRAWLED, url#13, puppeteer, 2024-07-25T07:40:31.740Z, 1024, 811, 6348, 6394, 395
CRAWLED, url#13, OpenWPM_HL, 2024-07-25T07:40:32.135Z, 4407, 108, 6743, 6712, 395
CRAWLED, url#13, OpenWPM, 2024-07-25T07:40:32.066Z, 5529, 0, 6674, 6650, 395
CRAWLED, url#13, puppeteer_HL, 2024-07-25T07:40:31.744Z, 754, 814, 6352, 6387, 395
CRAWLED, url#14, puppeteer, 2024-07-25T07:40:56.633Z, 1318, 811, 6364, 6411, 116
CRAWLED, url#14, OpenWPM_HL, 2024-07-25T07:40:56.735Z, 4175, 108, 6466, 6440, 116
CRAWLED, url#14, OpenWPM, 2024-07-25T07:40:56.629Z, 5528, 0, 6360, 6332, 116
CRAWLED, url#14, puppeteer_HL, 2024-07-25T07:40:56.619Z, 788, 814, 6350, 6388, 116
CRAWLED, url#15, puppeteer, 2024-07-25T07:41:21.126Z, 1297, 811, 6226, 6275, 346
CRAWLED, url#15, OpenWPM_HL, 2024-07-25T07:41:21.311Z, 4644, 108, 6411, 6384, 346
CRAWLED, url#15, OpenWPM, 2024-07-25T07:41:20.965Z, 5406, 0, 6065, 6044, 346
CRAWLED, url#15, puppeteer_HL, 2024-07-25T07:41:21.135Z, 729, 814, 6235, 6271, 346
CRAWLED, url#16, puppeteer, 2024-07-25T07:41:55.772Z, 1241, 811, 6655, 6696, 408
CRAWLED, url#16, OpenWPM_HL, 2024-07-25T07:41:55.595Z, 4872, 108, 6478, 6424, 408
CRAWLED, url#16, OpenWPM, 2024-07-25T07:41:55.366Z, 5835, 0, 6249, 6224, 408
CRAWLED, url#16, puppeteer_HL, 2024-07-25T07:41:55.774Z, 709, 814, 6657, 6689, 408
CRAWLED, url#17, puppeteer, 2024-07-25T07:42:30.179Z, 1151, 811, 6489, 6524, 250
CRAWLED, url#17, OpenWPM_HL, 2024-07-25T07:42:29.934Z, 4288, 108, 6244, 6224, 250
CRAWLED, url#17, OpenWPM, 2024-07-25T07:42:30.031Z, 5669, 0, 6341, 6315, 250
CRAWLED, url#17, puppeteer_HL, 2024-07-25T07:42:30.184Z, 748, 814, 6494, 6527, 250
CRAWLED, url#18, puppeteer, 2024-07-25T07:42:54.620Z, 1244, 811, 6458, 6496, 482
CRAWLED, url#18, OpenWPM_HL, 2024-07-25T07:42:54.305Z, 4084, 108, 6143, 6119, 482
CRAWLED, url#18, OpenWPM, 2024-07-25T07:42:54.787Z, 5635, 0, 6625, 6601, 482
CRAWLED, url#18, puppeteer_HL, 2024-07-25T07:42:54.620Z, 751, 814, 6458, 6490, 482
CRAWLED, url#19, puppeteer, 2024-07-25T07:43:19.302Z, 1362, 811, 6395, 6444, 546
CRAWLED, url#19, OpenWPM_HL, 2024-07-25T07:43:19.032Z, 3942, 108, 6125, 6101, 546
CRAWLED, url#19, OpenWPM, 2024-07-25T07:43:19.578Z, 5568, 0, 6671, 6609, 546
CRAWLED, url#19, puppeteer_HL, 2024-07-25T07:43:19.298Z, 685, 814, 6391, 6428, 546
CRAWLED, url#20, puppeteer, 2024-07-25T07:43:44.309Z, 1265, 811, 6632, 6677, 251
CRAWLED, url#20, OpenWPM_HL, 2024-07-25T07:43:44.257Z, 4422, 108, 6580, 6559, 251
CRAWLED, url#20, OpenWPM, 2024-07-25T07:43:44.060Z, 5811, 0, 6383, 6362, 251
CRAWLED, url#20, puppeteer_HL, 2024-07-25T07:43:44.311Z, 865, 814, 6634, 6674, 251
CRAWLED, url#21, puppeteer, 2024-07-25T07:44:18.761Z, 1421, 811, 6551, 6601, 251
CRAWLED, url#21, OpenWPM_HL, 2024-07-25T07:44:18.613Z, 4258, 108, 6403, 6385, 251
CRAWLED, url#21, OpenWPM, 2024-07-25T07:44:18.864Z, 5731, 0, 6654, 6601, 251
CRAWLED, url#21, puppeteer_HL, 2024-07-25T07:44:18.773Z, 971, 814, 6563, 6623, 251
CRAWLED, url#22, puppeteer, 2024-07-25T07:44:43.437Z, 1207, 811, 6498, 6542, 47
CRAWLED, url#22, OpenWPM_HL, 2024-07-25T07:44:43.456Z, 4844, 108, 6517, 6484, 47
CRAWLED, url#22, OpenWPM, 2024-07-25T07:44:43.409Z, 5673, 0, 6470, 6445, 47
CRAWLED, url#22, puppeteer_HL, 2024-07-25T07:44:43.443Z, 890, 814, 6504, 6575, 47
CRAWLED, url#23, puppeteer, 2024-07-25T07:45:08.103Z, 986, 811, 6499, 6564, 117
CRAWLED, url#23, OpenWPM_HL, 2024-07-25T07:45:08.152Z, 4473, 108, 6548, 6519, 117
CRAWLED, url#23, OpenWPM, 2024-07-25T07:45:08.220Z, 5678, 0, 6616, 6535, 117
CRAWLED, url#23, puppeteer_HL, 2024-07-25T07:45:08.105Z, 687, 814, 6501, 6543, 117
CRAWLED, url#24, puppeteer, 2024-07-25T07:45:42.648Z, 1490, 811, 6400, 6433, 323
CRAWLED, url#24, OpenWPM_HL, 2024-07-25T07:45:42.549Z, 4300, 108, 6301, 6283, 323
